DATA;PLACA;CHASSI;MARCA;MODELO;VEICULO;Local Sinistro;ZONA/ESTADO DO SINISTRO;;
26/5/12 15:31;EHZ8789;9C6KJ0050C0001305;YAMAHA;XJ6 N;MOTOCICLETA;RUA Leno ,344 AMERICANOPOLIS - SP;ZONA LESTE/SP;;
3/6/12 13:50;DZQ4144  ;9CDGR7GAJ8M004565;SUZUKI;GSX 750F;MOTOCICLETA;RODOANEL MARIO COVAS – SÃO PAULO/SP;ZONA OESTE/SP;;
17/6/12 21:21;DPU1049;9C2PC36006R006R00;HONDA;CB600F HORNET ;MOTOCICLETA;RUA ANTONIO DE AZEVEDO  – DIADEMA/SP;ZONA SUL/SP;;
1/7/12 21:00;GGG0675;94RBBTD678M323564;TRIUMPH;DAYTONA 675;MOTOCICLETA;AV:INTERLAGOS ALTURA 7.500;ZONA NORTE/SP;;
9/7/12 17:00;DWU9000;9CDGW71AJ7M001940;SUZUKI;HAYABUSA;MOTOCICLETA;AV.Nossa senhora do Sabará,bairro campo grande-sp ;ABCD/SP;;
25/7/12 20:50;EJO1088;9C2PC4200AR000649;HONDA;CB600F HORNET ;MOTOCICLETA;AV. CUPECE –DIADEMA ;ZONA LESTE/SP;;
19/8/12 15:16;EOS8366 ;JH2SC5994AK200942;HONDA;CBR 1000RR;MOTOCICLETA;Av. Dos Bandeirantes SP;ZONA SUL/SP;;
23/8/12 8:55;EKC9393;95VNN1C9CCM000076;MV AGUSTA;F4 1000R ;MOTOCICLETA;AV. DA PAZ, 1004 UTINGA - SANTO ANDRE/SP;ABCD/SP;;
24/8/12 20:55;EXA5711;9C2PC4210BR500277;HONDA;CB600F HORNET ;MOTOCICLETA;RUA CUSTODIO DE MESQUITA,333 CASA VERDE / SP;ZONA LESTE/SP;;
26/8/12 20:48;DZT9245;9C2NC4310BR026086;HONDA;CB 300R;MOTOCICLETA;AV. NOSSA SENHORA DO Ó,FREGUESIA DO Ó - SP;;;
9/9/12 9:00;DZP7539;JH2TC40908M100672;HONDA;CBR 600RR;MOTOCICLETA;RODOVIA ANHAGUERA ALTURA KM22;;;
16/9/12 9:02;NTM6814;JYARN26B8AA000378;YAMAHA;YZF R1;MOTOCICLETA;AV. DOS BANDEIRANTES SP;ZONA SUL/SP;;
19/9/12 0:00;FAY9976;9C2KC1680CR415657;HONDA;CG 150 FAN;MOTOCICLETA;BOLSÃO DE MOTOS PRAÇA DA REPUBLICA - SÃO PAULO / SP;CENTRO/SP;;
6/10/12 15:08;MRC0900;JH2SC4492YM000013;HONDA;CBR 900RR;MOTOCICLETA;RUA VAPABUÇU,  RESIDENCIA DO PROPRIETARIO;ZONA SUL/SP;;
7/10/12 10:45;ESB1462;JH2PC409XCK500193;HONDA;CBR 600RR;MOTOCICLETA;AV. DOS BANDEIRANTES SP;ZONA SUL/SP;;
8/10/12 19:40;EHT1603;9C2NZ4310AR092860;HONDA;CB 300R;MOTOCICLETA;RUA CORONEL MARQUES RIBEIRO, ALTURA 214;ZONA NORTE/SP;;
9/10/12 0:00;EHF6587;9C2ND0910AR009805;HONDA;XRE 300;MOTOCICLETA;RUA ANTONIO AMARO, 152;CENTRO/SP;;
9/10/12 0:00;EXF7989;9CBPC4210CR000025;HONDA;CB600F HORNET ;MOTOCICLETA;RUA MARIA ANTONIO / HIGIENOPOLIS - SP;CENTRO/SP;;
21/10/12 15:18;DYU3434;9CD6T77AJ9M003437;SUZUKI;GSXR 1000;MOTOCICLETA;AV. DR. FRANCIS MUNHOZ FILHO, 875 - CIDADE LIDER / SP;ZONA LESTE/SP;;
18/11/12 15:55;EQD3128;;HONDA;CB600F HORNET ;MOTOCICLETA;AV. COMENDADOR SANT' ANNA, 480 - CAPÃO REDONDO / SP;ZONA SUL/SP;;
22/12/12 19:57;EJR3798;9C6KM003090012733;YAMAHA;XT 660R;MOTOCICLETA;AV. MARECHAL TITO, 3773 - SÃO MIGUEL / SP;ZONA LESTE/SP;;
28/12/12 22:40;EXA3572;9C2NC4310BR102859;HONDA;CB 300R;MOTOCICLETA;RUA PROFESSOR CARDOSO DE MELO NETO, 1200 - PEDREIRA / SP;ZONA LESTE/SP;;
9/1/13 21:13;EKE9707;96PZRAL17AFS01011;KAWASAKI;Z750;MOTOCICLETA;RUA MURTA DO CAMPO, 01 - 119 - SÃO LUCAS / SP;ZONA LESTE/SP;;
27/1/13 10:37;DGH0487;JH2SC57954M000373;HONDA;CBR 1000RR;MOTOCICLETA;ROD. PRESIDENTE DUTRA / GUARULHOS / SP;ZONA NORTE/SP;;
6/2/13 6:50;DLO6800;9C6KM003050001930;YAMAHA;XT 660R;MOTOCICLETA;RUA INDONESIA, 125 - PARQUE CAPUAVA - SANTO ANDRE / SP;ABCD/SP;;
7/2/13 17:12;FAV2190;9C2NC4310CR075447;HONDA;CB 300R;MOTOCICLETA;RUA SUMIDOURO, 580 - PINHEIROS - SÃO PAULO / SP;ZONA OESTE/SP;;
20/2/13 12:25;EFN7490;9C2NC4310AR044204;HONDA;CB 300R;MOTOCICLETA;AV. JOSE CABALERO, CENTRO DE SANTO ANDRE / SP;ABCD/SP;;
20/2/13 15:14;ELQ9560;93YADCUH6BJ689393;RENAULT;MASTER 11M3;UTILITARIO;CLIENTE NÃO SOUBE INFORMAR;;;
21/2/13 21:26;DYM1932;9C6KM003070006947;YAMAHA;XT 660R;MOTOCICLETA;PRAÇA DOS EMANCIPADORES, PRAIA GRANDE / SP;LITORAL SUL / SP;;
24/2/13 21:43;FAF5008;9C2PC46003R005768;HONDA;CBR 1000RR;MOTOCICLETA;ESTRADA DA BARREIRA GRANDE, 1766 - 1790 - ARICANDUVA / SP;ZONA NORTE/SP;;
15/3/13 21:03;FGM0650;96PERCC17BFS00260;KAWASAKI;ER 6N;MOTOCICLETA;AV. JOÃO XXIII, PROXIMO A RUA LASSAR SEGALL - MAUA / SP;ABCD/SP;;
15/3/13 21:03;FGM0650;96PERCC17BFS00260;KAWASAKI;ER 6N;MOTOCICLETA;AV. JOÃO XXIII, PROXIMO A RUA LASSAR SEGALL - MAUA / SP;ABCD/SP;;
16/3/13 20:25;NHE5639;9C2MC35007R051406;HONDA;CBX 250 TWISTER;MOTOCICLETA;RUA SANTA MARCELINA, 350 - PARQUE DO CARMO / SP;ZONA LESTE/SP;;
19/3/13 6:45;EIE1588;96PERCC11AFS00169;KAWASAKI;ER 6N;MOTOCICLETA;AVENIDA ASSEMBLÉIA, Nº 237, CIDADE ADEMAR - SÃO PAULO/SP ;ZONA SUL/SP;;
21/3/13 20:12;FAY3798;9C2NC4310CR021205;HONDA;CB 300R;MOTOCICLETA;AVENIDA DOS ESTADOS,Nº 1785-2031 - VILA METALÚRGICA - SANTO ANDRE/SP;ABCD/SP;;
22/3/13 18:38;EXK3015;9C2NC4310CR077464;HONDA;CB 300R;MOTOCICLETA;AV DO ESTADO - SANTO ANDRE/SP;ABCD/SP;;
22/3/13 18:38;EXK3015;9C2NC4310CR077464;HONDA;CB 300R;MOTOCICLETA;AV DO ESTADO - SANTO ANDRE/SP;ABCD/SP;;
23/3/13 11:56;FDQ0899;9C2NC4310CR074654;HONDA;CB 300R;MOTOCICLETA;RUA IGUATEMI, ALTURA DO Nº 36, ITAIM BIBI, SÃO PAULO/SP ;ZONA SUL/SP;;
31/3/13 6:37;ECP2644;9CDGT77AJ8M003185;SUZUKI;GSXR 1000;MOTOCICLETA;RUA CAIAPÓS, 184, VILA TUPI - PRAIA GRANDE/SP;LITORAL SUL / SP;;
31/3/13 14:20;EXH4321;9C2NC4310CR063034;HONDA;CB 300R;MOTOCICLETA;RUA JOVERCINA PAULA DE OLIVEIRA, 210 - VILA SOCIALISTA - DIADEMA/SP;ABCD/SP;;
31/3/13 15:20;EHD5115;9C6RJ172090000712;YAMAHA;FZ6 FAZER N HG;MOTOCICLETA;AVENIDA CARIJÓ, S/N, SÃO BERNADO DO CAMPO/SP;ABCD/SP;;
2/4/13 13:00;     EXH4321           ;9C2NC4310CR063034;HONDA;CB 300R;MOTOCICLETA;RUA JOVERCINA PAULA DE OLIVEIRA, 210 - VILA SOCIALISTA - DIADEMA/SP;ABCD/SP;;
2/4/13 15:00;EHD5115;9C6RJ172090000712;YAMAHA;FZ6 FAZER N HG;MOTOCICLETA;AVENIDA CARIJÓ, S/N, SÃO BERNADO DO CAMPO/SP;ABCD/SP;;
22/4/13 8:12;CDI4125;9C6KM003080008886;YAMAHA;XT 660R;MOTOCICLETA;ROD. RAPOSO TAVARES, 2 - 16 - SÃO PAULO / SP;ZONA OESTE/SP;;
30/4/13 21:41;EWE4347;9C6KG0460D0081906;YAMAHA;FAZER YS 250;MOTOCICLETA;AV. RUDGE RAMOS, SÃO BERNARDO DO CAMPO / SP;ABCD/SP;;
1/5/13 17:57;DZU9903;JYARN20Y77A000295;YAMAHA;YZF R1;MOTOCICLETA;AV LUIS DUMONT VILLARES, 1543 - SANTANA / SP;ZONA NORTE/SP;;
2/5/13 20:53;EYY3075;9C2KC1660CR530648;HONDA;CG 150 TITAN EX;MOTOCICLETA;RUA JOSE CIANCIARULLO, OSASCO / SP;ZONA OESTE/SP;;
3/5/13 7:00;DRW9229;9C2PC36006R001582;HONDA;CB600F HORNET ;MOTOCICLETA;RUA MACICO DO URUCUM, 42 - LAJEADO / SP;ZONA SUL/SP;;
5/5/13 14:42;FFY3646;96PERCE17DFS00291;KAWASAKI;ER 6N;MOTOCICLETA;AV. DOS ESTADOS, 4900 - SANTO ANDRE / SP;ABCD/SP;;
10/5/13 19:42;EOU1809;93FGR250BBM008118;KASINSKI;COMET 250R;MOTOCICLETA;RUA AFONSO CELSO, ALT 278, VILA MARIANA - SÃO PAULO;ZONA SUL/SP;;
11/5/13 10:50;EHG6467;9C2ND0910CR025544;HONDA;XRE 300;MOTOCICLETA;AV. TIRADENTES, 615 - BOM RETIRO / SP;CENTRO/SP;;
12/5/13 12:48;LLL5628;9C2ND0920BR000109;HONDA;XRE 300;MOTOCICLETA;RUA PEREIRA DE COSTA, MADUREIRA / RJ;RIO DE JANEIRO - RJ ;;
24/5/13 5:00;ESE2805;9C2ND0910CR009556;HONDA;XRE 300;MOTOCICLETA;AV. DOUTOR RUDGE RAMOS, SÃO BERNARDO DO CAMPO / SP;ABCD/SP;;
25/5/13 18:06;FAP0158;9CDGP75ASEM102550;SUZUKI;BANDIT 650S;MOTOCICLETA;AV. JABAQUARA, S/N SÃO PAULO / SP;ZONA SUL/SP;;
3/6/13 19:20;DOU5496;9C2MD34005R008559;HONDA;XR 250 TORNADO;MOTOCICLETA;RUA VERGUEIRO, 819 - LIBERDADE / SP;ZONA SUL/SP;;
6/6/13 14:30;EHZ0542;9C2ND0910AR014621;HONDA;XRE 300;MOTOCICLETA;AV. MARQUES DE SÃO VICENTE, BARRA FUNDA / SP;CENTRO/SP;;
8/6/13 5:31;EXB3137;9C2ND0910CR004955;HONDA;XRE 300;MOTOCICLETA;ESTRADA DOM JOÃO NERI, JARDIM NAZARE I / SP;ZONA LESTE/SP;;
9/6/13 8:05;EHW7555;9CDGR7DAJ9M004537;SUZUKI;GSXR 750;MOTOCICLETA;AV. BANDEIRANTES - S/N / SP;ZONA SUL/SP;;
9/6/13 14:00;FSI0060;9C6KM0030D0019681;YAMAHA;XT 660R;MOTOCICLETA;MAUA / RIBEIRÃO PIRES / SP;ABCD/SP;;
11/6/13 11:30;DZT5637;9C2ND07008R015677;HONDA;NX 400 FALCON;MOTOCICLETA;RUA SURUBIM, ITAIM BIBI / SP;ZONA SUL/SP;;
12/6/13 5:35;FAY0624;9C2KD0550DR362339;HONDA;NXR 150 BROS;MOTOCICLETA;RUA ERUNDINA, 547 - PARQUE SÃO RAFAEL / SP;ZONA NORTE/SP;;
12/6/13 9:32;FDX9829;9C2NC4310CR075121;HONDA;CB 300R;MOTOCICLETA;AV. LEONCIO DE CARVALHO, 230 PARAISO / SP;ZONA SUL/SP;;
12/6/13 17:55;DJC3414;9BW2M82T25R503637;VOLKSWAGEN;23220;CAMINHÃO;RODOVIA AIRTON SENNA / SP;ZONA NORTE/SP;;
14/6/13 20:00;FHO3188;9C2ND1110DR004482;HONDA;XRE 300;MOTOCICLETA;ROD. ANHANGUERA, 56136 - JUNDIAI / SP;ZONA NORTE/SP;;
16/6/13 8:10;FLR0010;JKAZXCE189A023632;KAWASAKI;ZX 10R;MOTOCICLETA;AV. SALIM FARAH MALUF, S/N / SP;ZONA NORTE/SP;;
25/6/13 9:10;EHG6152;9C6KG0270A0012068;YAMAHA;FAZER YS 250;MOTOCICLETA;RUA HIGINO PELLEGRINI, 37 - 53 - BARRA FUNDA / SP;ZONA NORTE/SP;;
26/6/13 0:00;EXB1172;9C6KG0460C0067109;YAMAHA;FAZER YS 250;MOTOCICLETA;RUA ABELARDO PINTO, 62 PACAINDU / SP;CENTRO/SP;;
3/7/13 20:30;EJR9690;96PZRAL14AFS00933;KAWASAKI;Z750;MOTOCICLETA;AV. BANDEIRANTES, 1903 - ITAIM BIBI / SP;ZONA SUL/SP;;
6/7/13 20:23;JFW0842;8AC9036722A904107;MERCEDES BENZ;SPRINTER;UTILITARIO;ESTRADA DOS FERNANDES, 7000, VILA APARECIDA, SUZANO/SP;INTERIOR SP / SP;;
7/7/13 7:55;FEN2249;96PZXDK18CFS00283;KAWASAKI;ZX 10R;MOTOCICLETA;AVENIDA DOS BANDEIRANTES, 4984-5052 -SAUDE / SP;ZONA SUL/SP;;
7/7/13 9:00;FDL2555;JKAZXCJ11BA001919;KAWASAKI;ZX 10R;MOTOCICLETA;RODOANEL MARIO COVAS – SÃO PAULO/SP;ABCD/SP;;
23/7/13 12:15;EXK9803;9C6KG0460E0088510;YAMAHA;FAZER YS 250;MOTOCICLETA;RUA GANDAVO, 47 - VILA MARIANA / SP;ZONA SUL/SP;;
24/7/13 10:10;EXB5763;9C6KG0460C0051568;YAMAHA;FAZER YS 250;MOTOCICLETA;RUA DA CONSOLAÇÃO, 2808 - CERQUEIRA CESAR / SP;CENTRO/SP;;
27/7/13 22:21;KZN7105;9C2ND1110DR009716;HONDA;XRE 300;MOTOCICLETA;RODOVIA RJ-104 - NITERÓI / RJ;RIO DE JANEIRO - RJ ;;
2/8/13 20:49;EFL6206;9C6KM003090010698;YAMAHA;XT 660R;MOTOCICLETA;RUA PROFº DEMO GHIDELLI/RUA JORGE MARACCINI PONFÍLIO - GUAIANASES - SÃO PAULO/SP;ZONA LESTE/SP;;
4/8/13 7:33;DZU5537 ;9CDGR7DAJ8M004153;SUZUKI;GSXR 750;MOTOCICLETA;RUA PROCOPIO FERREIRA, 403 - JARDIM SILVANA / SP;ABCD/SP;;
4/8/13 19:40;FIA2398;JH2PC409X8K111576;HONDA;CBR 600RR;MOTOCICLETA;ESTRADA DO RIVIERA, 3000, RIVIERA, SÃO PAULO/SP;ZONA SUL/SP;;
14/8/13 6:33;EXK4336;9C6KG0460E0084763;YAMAHA;FAZER YS 250;MOTOCICLETA;RUA BERNARDO ANTUNES ROLIM, 161, IGUATEMI, SÃO PAULO/SP;ZONA LESTE/SP;;
21/8/13 21:05;EXK8193;95VGF4C2CDM001137;DAFRA;TVS APACHE RTR 150;MOTOCICLETA;RUA CARLOS PETIT, 168 - SÃO PAULO / SP;ZONA SUL/SP;;
22/8/13 18:13;C??6267;9C2JC4110DR806267;HONDA;CG 125 FAN KS;MOTOCICLETA;RUA SAPETUBA, 187 - BUTANTA, SÃO PAULO-SP;ZONA OESTE/SP;;
25/8/13 14:30;EXD2653;JKAZX4R10BA025753;KAWASAKI;ZX 6R;MOTOCICLETA;RUA AMARO PONTES, SOCORRO / SP;ZONA SUL/SP;;
26/8/13 0:33;DZN5003;9C6KM003080007282;YAMAHA;XT 660R;MOTOCICLETA;RUA SARGENTO NOEL DE CAMARCO COM RUA CENTRAL DE STA. HELENA, 908 - JARDIM IMPERADOR;ZONA LESTE/SP;;
7/9/13 6:18;FFJ9984;9C2NC4310CR073760;HONDA;CB 300R;MOTOCICLETA;RUA BENTO SOARES MOTA, 58 - GUAIANASES - SÃO PAULO/SP;ZONA LESTE/SP;;
12/9/13 16:16;FID9604;9C6KG0460E0091227;YAMAHA;FAZER YS 250;MOTOCICLETA;PRAÇA SAMUEL SABATINI, 200 - CENTRO - SÃO BERNARDO DO CAMPO / SP;ABCD/SP;;
24/9/13 20:00;FAY9208;9C6KJ0040C0005458;YAMAHA;XJ6 N;MOTOCICLETA;PRAÇA DOM GASTÃO LIBERAL PINTO - ITAIM BIBI - SÃO PAULO / SP;ZONA SUL/SP;;
26/9/13 18:45;EOX4252;96PERCC12AFS01153;KAWASAKI;ER 6N;MOTOCICLETA;AV. DOS ESTADOS, S/N - SANTO ANDRE / SP;ABCD/SP;;
26/9/13 19:20;FKL5295;9C6KE1060E0015378;YAMAHA;XTZ 125E;MOTOCICLETA;RUA CARLOS COMENALE - BELA VISTA - SÃO PAULO / SP;CENTRO/SP;;
26/9/13 19:45;FAP4549;9C6KJ0060D0002410;YAMAHA;XJ6 N;MOTOCICLETA;AV. RUBEM BERTA - MOEMA - SÃO PAULO / SP X AV. INDIANÓPOLIS - MOEMA - SÃO PAULO / SP;ZONA SUL/SP;;
1/10/13 17:57;EJO7347;9C2ND0920AR000695;HONDA;XRE 300;MOTOCICLETA;TRAVESSA ANHANGUERA, 2-146 - ANHANGUERA / SP;ZONA NORTE/SP;;
3/10/13 20:55;KPJ8364;9C2ND1110DR007593;HONDA;XRE 300;MOTOCICLETA;RUA PROFESSORA AMELIA KELLY, NOVA IGUAÇU / RJ;RIO DE JANEIRO - RJ ;;
4/10/13 22:07;FHX0853;9C6KJ0060D0002196;YAMAHA;XJ6 N;MOTOCICLETA;AV. MARQUÊS DE SÃO VICENTE - BARRA FUNDA - SÃO PAULO / SP;ZONA OESTE/SP;;
5/10/13 22:43;EXD2408;9C2NC4310CR031225;HONDA;CB 300R;MOTOCICLETA;RUA VERCINIO PEREIRA DE SOUSA, ALTURA 147 - SÃO MATEUS / SP;ZONA LESTE/SP;;
6/10/13 19:45;EWW8723;9CDGP75AJBM102904;SUZUKI;BANDIT 650;MOTOCICLETA;AV. NS. DOS NAVEGANTES - INAMAR - DIADEMA / SP;ZONA SUL/SP;;
7/10/13 21:45;FAP9878;96PEXHA19DFS02293;KAWASAKI;NINJA 300;MOTOCICLETA;AVENIDA DAS NAÇÕES UNIDAS, S/N - VILA LEOPOLDINA / SP;ZONA OESTE/SP;;
11/10/13 19:00;FHO4789;9C2RC6410DR001010;HONDA;NC 700X;MOTOCICLETA;AV. HEBERT DE SOUZA, 225 - OSASCO / SP;ZONA OESTE/SP;;
14/10/13 19:23;EXL3937;9C2ND1120DR001432;HONDA;XRE 300 C/ABS;MOTOCICLETA;RUA VERGUEIRO, 2618 - VILA MARIANA - SÃO PAULO / SP;ZONA SUL/SP;;
15/10/13 12:10;FKL2202;9C6KG0460E0085997;YAMAHA;FAZER YS 250;MOTOCICLETA;ESQUINA DA RUA MATO GROSSO - CEMITÉRIO CONSOLAÇÃO COM A COR. JOSÉ EUSÉBIO;CENTRO/SP;;
16/10/13 11:45;EXK3288;9C2KC1650DR305596;HONDA;CG 150 TITAN ESD;MOTOCICLETA;RUA ESTELA, 515 - VILA MARIANA / SP;ZONA SUL/SP;;
19/10/13 6:23;MGY0609 ;9C2PC4210AR500526;HONDA;CB600F HORNET ;MOTOCICLETA;AVENIDA ENGENHEIRO CAETANO ALVARES, S/N - SÃO PAULO;ZONA NORTE/SP;;
28/10/13 12:06;CVX6155;9BD178296W0742148;FIAT;PALIO EX;CARRO;RUA ALEXANDRE CICCARELLI, 206 - CIDADE SÃO MATHEUS / SP;ZONA LESTE/SP;;
30/10/13 12:00;FSJ5043;9C2ND1110DR013425;HONDA;XRE 300;MOTOCICLETA;RUA DOUTOR RAFAEL DE BARROS, 211 - PARAISO / SP;CENTRO/SP;;
7/11/13 20:30;FAY3372;9C6KJ0060D0002107;YAMAHA;XJ6 N;MOTOCICLETA;RUA ANTONIO DE OLIVEIRA C/ RUA DA PAZ - GRANJA JULIETA/SP;ZONA SUL/SP;;
8/11/13 20:09;ECP0071;9C2PC4210AR500473;HONDA;CB600F HORNET ;MOTOCICLETA;RUA LUTA FEMININA, 2 / RUA HENRIQUETA NOGUEZ BRIEBA - JOSÉ BONIFÁCIO - SÃO PAULO/SP;ZONA LESTE/SP;;
9/11/13 15:28;ECF6445;9C2ND07008R012021;HONDA;NX 400 FALCON;MOTOCICLETA;AV. RIO DAS PEDRAS, 3100 - JD ARICANDUVA / SP;ZONA LESTE/SP;;
9/11/13 17:55;KAJ9692;JYARJ12E96A003061;YAMAHA;YZF R6;MOTOCICLETA;AV. JARDIM TAMOIOS - ESQUINA COM A RUA LUIS MATEUS - ITAQUERA / SP;ZONA LESTE/SP;;
10/11/13 18:59;EKJ0109;96PZRAL1XAFS00757;KAWASAKI;Z750;MOTOCICLETA;RUA SERRA DO MAR, 52 - CAMPANÁRIO - DIADEMA/SP;ABCD/SP;;
11/11/13 23:07;KWD9653;95VMM3B9DDM000001;MV AGUSTA;BRUTALE 1090 RR;MOTOCICLETA;AV. 20 DE JANEIRO, GALEÃO / RJ;RIO DE JANEIRO - RJ ;;
12/11/13 12:43;ESE3868;9C2ND1010DR300498;HONDA;NX 400I FALCON;MOTOCICLETA;RUA ITAPURÁ, 270 - TATUAPÉ / SP;ZONA LESTE/SP;;
12/11/13 21:07;FHV6816;9C6KG0490E0006947;YAMAHA;FAZER YS 250;MOTOCICLETA;RUA GEN. CHAGAS SANTOS, 404 - SAÚDE - SÃO PAULO/SP;ZONA SUL/SP;;
13/11/13 12:16;ESM5901;9CDGP75AJBM102585;SUZUKI;BANDIT 650;MOTOCICLETA;RUA EVANDRO CARLOS DE ANDRADE, 2-300 - ITAIM BIBI / SP;ZONA SUL/SP;;
15/11/13 11:20;ESN3736 ;9C6KJ0060D0002305;YAMAHA;XJ6 N;MOTOCICLETA;RODOVIA ANCHIETA, SÃO BERNARDO DO CAMPO / SP;ABCD/SP;;
17/11/13 16:42;DYU3434;9CD6T77AJ9M003437;SUZUKI;GSXR 1000;MOTOCICLETA;AV. LIDER, S/N - ITAQUERA / SP;ZONA LESTE/SP;;
18/11/13 22:35;EWJ0226;8AC903662BE051308;MERCEDES BENZ;SPRINTER;UTILITARIO;RUA FAVEIRA-DO-MATO, 485 - VILA JACUÍ - SÃO PAULO/SP;ZONA LESTE/SP;;
21/11/13 11:18;ESD2230;9C2JC4110DR808152;HONDA;CG 125 FAN KS;MOTOCICLETA;RUA OLIMPIO TELES DE MENEZES, 416  - CAPÃO REDONDO / SP;ZONA SUL/SP;;
21/11/13 22:18;KIM9393;9BWGB05W7AP088324;VOLKSWAGEN;PARATI TRACKFIELD;CARRO;RUA ETTORE ANDREZZA, 374 - SÃO MATEUS / SP;ZONA LESTE/SP;;
22/11/13 9:15;FJF8135;96PERCE15DFS00760;KAWASAKI;ER 6N;MOTOCICLETA;ESTRADA TURISTICA DO JARAGUA, JARAGUAR / SP;ZONA NORTE/SP;;
22/11/13 19:34;CDP8411;9C6KG0460C0064801;YAMAHA;FAZER YS 250 ;MOTOCICLETA;RODOVIA VEREADOR ALBINO RODRIGUES NEVES, KM55 - SANTA ISABEL / SP;INTERIOR SP / SP;;
27/11/13 20:39;FHO2450;9C6KE1520D0133074;YAMAHA;YBR 125K ;MOTOCICLETA;RUA DOS COCAIS, 293 - SANTO ANDRE / SP;ABCD/SP;;
